State,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
State Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
Andaman and Nicobar Islands,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
Andaman and Nicobar Islands,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
Andaman and Nicobar Islands,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
Andhra Pradesh,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
Andhra Pradesh,Anantapur,157843,51,156699,1093,0,0,0,0,0,,
Andhra Pradesh,Chittoor,246935,844,244144,1947,0,0,0,0,0,,
Andhra Pradesh,East Godavari,293836,936,291610,1290,0,0,0,0,0,,
Andhra Pradesh,Guntur,178068,202,176629,1237,0,0,0,0,0,,
Andhra Pradesh,Krishna,119348,788,117130,1430,0,0,0,0,0,,
Andhra Pradesh,Kurnool,124142,25,123264,853,0,0,0,0,0,,
Andhra Pradesh,Other State,2461,0,2461,0,0,0,0,0,0,,
Andhra Pradesh,Prakasam,138482,369,136989,1124,0,0,0,0,0,,
Andhra Pradesh,S.P.S. Nellore,146388,416,144919,1053,0,0,0,0,0,,
Andhra Pradesh,Srikakulam,123109,187,122136,786,0,0,0,0,0,,
Andhra Pradesh,Visakhapatnam,157737,118,156492,1127,0,0,0,0,0,,
Andhra Pradesh,Vizianagaram,82967,64,82231,672,0,0,0,0,0,,
Andhra Pradesh,West Godavari,179077,280,177680,1117,0,0,0,0,0,,
Andhra Pradesh,Y.S.R. Kadapa,115623,75,114904,644,0,0,0,0,0,,
Arunachal Pradesh,Anjaw,1068,0,1065,3,0,0,0,0,0,,
Arunachal Pradesh,Changlang,3807,5,3780,22,0,0,0,0,0,,
Arunachal Pradesh,East Kameng,1094,0,1094,0,0,0,0,0,0,,
Arunachal Pradesh,East Siang,3206,6,3183,17,0,0,0,0,0,,
Arunachal Pradesh,Kamle,512,0,512,0,0,0,0,0,0,,
Arunachal Pradesh,Kra Daadi,270,0,270,0,0,0,0,0,0,,
Arunachal Pradesh,Kurung Kumey,511,0,510,1,0,0,0,0,0,,
Arunachal Pradesh,Lepa Rada,874,0,871,3,0,0,0,0,0,,
Arunachal Pradesh,Lohit,2885,8,2851,26,0,0,0,0,0,,
Arunachal Pradesh,Longding,752,1,749,2,0,0,0,0,0,,
Arunachal Pradesh,Lower Dibang Valley,2426,18,2397,11,0,0,0,0,0,,
Arunachal Pradesh,Lower Siang,738,0,730,8,0,0,0,0,0,,
Arunachal Pradesh,Lower Subansiri,3036,6,3015,15,0,0,0,0,0,,
Arunachal Pradesh,Namsai,2124,5,2102,17,0,0,0,0,0,,
Arunachal Pradesh,Pakke Kessang,453,0,453,0,0,0,0,0,0,,
Arunachal Pradesh,Papum Pare,18316,6,18212,98,0,0,0,0,0,,
Arunachal Pradesh,Shi Yomi,262,1,261,0,0,0,0,0,0,,
Arunachal Pradesh,Siang,411,0,408,3,0,0,0,0,0,,
Arunachal Pradesh,Tawang,2577,24,2533,20,0,0,0,0,0,,
Arunachal Pradesh,Tirap,1109,2,1102,5,0,0,0,0,0,,
