State,Date,deltaconfirmed,deltarecovered,deltatested,deltaother,deltadeceased,deltavaccinated1,deltavaccinated2,delta7confirmed,delta7recovered,delta7tested,delta7other,delta7deceased,delta7vaccinated1,delta7vaccinated2,totalconfirmed,totalrecovered,totaltested,totalother,totaldeceased,totalvaccinated1,totalvaccinated2
Andaman and Nicobar Islands,26-03-2020,1,,,,,,,1,,,,,,,1,,,,,,
Andaman and Nicobar Islands,27-03-2020,5,,,,,,,6,,,,,,,6,,,,,,
Andaman and Nicobar Islands,28-03-2020,3,,,,,,,9,,,,,,,9,,,,,,
Andaman and Nicobar Islands,29-03-2020,,,,,,,,9,,,,,,,9,,,,,,
Andaman and Nicobar Islands,30-03-2020,1,,,,,,,10,,,,,,,10,,,,,,
Andaman and Nicobar Islands,31-03-2020,,,,,,,,10,,,,,,,10,,,,,,
Andaman and Nicobar Islands,01-04-2020,,,,,,,,10,,,,,,,10,,,,,,
Andaman and Nicobar Islands,02-04-2020,,,,,,,,9,,,,,,,10,,,,,,
Andaman and Nicobar Islands,03-04-2020,,,,,,,,4,,,,,,,10,,,,,,
Andaman and Nicobar Islands,04-04-2020,,,,,,,,1,,,,,,,10,,,,,,
Andaman and Nicobar Islands,05-04-2020,,,,,,,,1,,,,,,,10,,,,,,
Andaman and Nicobar Islands,06-04-2020,,,,,,,,,,,,,,,10,,,,,,
Andaman and Nicobar Islands,07-04-2020,,,,,,,,,,,,,,,10,,,,,,
Andaman and Nicobar Islands,08-04-2020,1,,,,,,,1,,,,,,,11,,,,,,
Andaman and Nicobar Islands,09-04-2020,,10,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,10-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,11-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,12-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,13-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
Andaman and Nicobar Islands,14-04-2020,,,,,,,,1,10,,,,,,11,10,,,,,
